,title,url
0,"The River
October 1, 2019 at 3:15 PM ·
An exciting mystery with a lot of heart. Discover a new kind of family drama TONIGHT on #Emergence at 10|9c on ABC!",https://m.facebook.com/story.php?story_fbid=2597103290312234&id=206795762676344&eav=AfY3iZRzFMvDQ9f-miroGehnkz2DMR4mb9hLkUaiqsFAD-q5DQkxHwZDIVik1EYXXak&m_entstream_source=timeline&__tn__=%2As%2As-R&paipv=0
1,"The River
September 24, 2019 at 9:46 AM ·
Discover the secrets of Emergence, premiering TONIGHT at 10|9c on ABC.",https://m.facebook.com/story.php?story_fbid=2583112918377938&id=206795762676344&eav=AfZ3Pz8n7DZ3LkTot5PeMGFUdEZKgNE1e8pdNbTZj7tviIVNLIZH3zgY7cvVOcNDmGo&m_entstream_source=timeline&__tn__=%2As%2As-R&paipv=0
2,"The River
May 14, 2019 at 2:24 PM ·
Beyond explanation…beyond understanding…lies the truth. Emergence is coming to ABC.",https://m.facebook.com/story.php?story_fbid=2341154335907132&id=206795762676344&eav=AfaCk-FZtYTpADAIlXG4wSRqG-3bKx7KzII8fivOuNE9F75hd9a7j_iMtkcc5csG8iE&m_entstream_source=timeline&__tn__=%2As%2As-R&paipv=0
3,"The River
March 20, 2018 at 12:19 PM ·
You can't begin to imagine what will become possible. Watch the first full episode of #TheCrossing before it airs Monday April 2 10|9c
ABC.COM
Watch the First Episode of The Crossing!
When refugees begin to appear on the beach of a small town, Sheriff Ellis goes to investigate. But the origin of these people ends up being more complicated than anyone imagined possible. Stream The Crossing now on ABC.
WATCH MORE
The CrossingMarch 19, 2018 at 7:00 AM ·
You can't begin to imagine what will become possible. Watch the first full episode of #TheCrossing before it airs Monday April 2 10|9c",https://m.facebook.com/story.php?story_fbid=1766509423371629&id=206795762676344&eav=AfalrWRCtKM1YU2-xkg0t2IammiT7zErks4K9RURxt-s4haZwnQqSrNoADiFPYCDIJA&m_entstream_source=timeline&__tn__=%2As%2As-R&paipv=0
4,"ABC.COM
Watch the First Episode of The Crossing!
When refugees begin to appear on the beach of a small town, Sheriff Ellis goes to investigate. But the origin of these people ends up being more complicated than anyone imagined possible. Stream The Crossing now on ABC.
WATCH MORE
The CrossingMarch 19, 2018 at 7:00 AM ·
You can't begin to imagine what will become possible. Watch the first full episode of #TheCrossing before it airs Monday April 2 10|9c",https://m.facebook.com/story.php?story_fbid=1743283622376609&id=1511821068849507&eav=AfbuNEXOhh4nI9rxWbwKqCC8Cz3whkSgrqXlimlmg6mbEXdkQo0jBjDapOOlSZ8NM2k&m_entstream_source=timeline&__tn__=%2As%2AsH-R&paipv=0
5,"The River
October 1, 2019 at 3:15 PM ·
An exciting mystery with a lot of heart. Discover a new kind of family drama TONIGHT on #Emergence at 10|9c on ABC!",https://m.facebook.com/story.php?story_fbid=1565945993427974&id=206795762676344&eav=AfaPS9Syj4nTalLTatOaVNX2W4N_3G9LbH4JZG9XmEixb1QkO_l9IfrBdA9SLr9RLoY&m_entstream_source=timeline&__tn__=%2As%2As-R&paipv=0
6,"The River
September 24, 2019 at 9:46 AM ·
Discover the secrets of Emergence, premiering TONIGHT at 10|9c on ABC.",https://m.facebook.com/story.php?story_fbid=1682774955099967&id=270204986356978&eav=AfbY6OE3xSqpIwGQj0A0eN7rfdHXxMkmHqtwOfYPA1XCM8dumpkali0dyfhv0UMbC-A&m_entstream_source=timeline&__tn__=%2As%2AsH-R&paipv=0
7,"The River
May 14, 2019 at 2:24 PM ·
Beyond explanation…beyond understanding…lies the truth. Emergence is coming to ABC.",https://m.facebook.com/story.php?story_fbid=1533704186652155&substory_index=0&id=206795762676344&eav=AfaVkFAfzNWTIhCnZKZNHATSmtvrLS16MH_Y_OuGpIHF7V8TwLiCawiddGjV0nKy80E&m_entstream_source=timeline&__tn__=%2As%2As-R&paipv=0
8,"The River
March 20, 2018 at 12:19 PM ·
You can't begin to imagine what will become possible. Watch the first full episode of #TheCrossing before it airs Monday April 2 10|9c
ABC.COM
Watch the First Episode of The Crossing!
When refugees begin to appear on the beach of a small town, Sheriff Ellis goes to investigate. But the origin of these people ends up being more complicated than anyone imagined possible. Stream The Crossing now on ABC.
WATCH MORE
The CrossingMarch 19, 2018 at 7:00 AM ·
You can't begin to imagine what will become possible. Watch the first full episode of #TheCrossing before it airs Monday April 2 10|9c",https://m.facebook.com/story.php?story_fbid=1501881839834390&id=206795762676344&eav=AfbgUUQ5MXbrCH8TOKeL9QmD8MEpHmCZWfXpwo5biemrkCf2KbE_x2LfPp5Z8Lg36zU&m_entstream_source=timeline&__tn__=%2As%2As-R&paipv=0
9,"ABC.COM
Watch the First Episode of The Crossing!
When refugees begin to appear on the beach of a small town, Sheriff Ellis goes to investigate. But the origin of these people ends up being more complicated than anyone imagined possible. Stream The Crossing now on ABC.
WATCH MORE
The CrossingMarch 19, 2018 at 7:00 AM ·
You can't begin to imagine what will become possible. Watch the first full episode of #TheCrossing before it airs Monday April 2 10|9c",https://m.facebook.com/story.php?story_fbid=1470146409674600&id=206795762676344&eav=AfZowPeC51NQF5P-fJDrXutJGx_gec5Bng1_CChO90Wb82QLmE1mZ4SHg9BXauCilSM&m_entstream_source=timeline&__tn__=%2As%2As-R&paipv=0
